id,title,description_snippet,source_name,published_at,query_player,primary_label,secondary_labels,confidence_score,confidence_note,detected_players,is_lotte_related,event_summary,key_players,lotte_stance,player_stance,game_ref,game_context
11,"[사진] 김태형 감독, 이서준에게 타격 지도","2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 이서준에게 타격 지도를 하고 있다. 20",www.osen.co.kr,2026-04-28T16:06:00,,INTERVIEW,,0.9,,김진욱;이서준,True,김태형 감독이 이서준에게 타격 지도를 하고 있다.,이서준,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
12,[사진] 얘기 나누는 김태형 감독과 전준우,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독과 전준우가 얘기를 하고 있다. 2026.0",www.osen.co.kr,2026-04-28T16:05:00,,INTERVIEW,MATCH_RELATED,0.9,,김진욱;전준우,True,김태형 감독과 전준우가 얘기를 나누고 있다.,전준우,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
13,"[사진] 김태형 감독, 매의 눈으로","2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 선수들의 훈련을 지켜보고 있다. 2026",www.osen.co.kr,2026-04-28T16:05:00,,MATCH_RELATED,INTERVIEW,0.9,,김진욱,True,김태형 감독이 선수들의 훈련을 지켜보고 있다.,,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
14,[사진] 얘기 나누는 김태형 감독과 전준우,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독과 전준우가 얘기를 하고 있다. 2026.0",www.osen.co.kr,2026-04-28T16:05:00,,INTERVIEW,MATCH_RELATED,0.9,,김진욱;전준우,True,김태형 감독과 전준우가 얘기를 나누고 있다.,전준우,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
15,[사진] 훈련 지켜보는 김태형 감독,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 선수들의 훈련을 지켜보고 있다. 2026",www.osen.co.kr,2026-04-28T16:05:00,,INTERVIEW,,0.9,,김진욱,True,김태형 감독이 선수들의 훈련을 지켜보고 있다.,,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
16,[사진] 훈련 지켜보는 김태형 감독,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 선수들의 훈련을 지켜보고 있다. 2026",www.osen.co.kr,2026-04-28T16:05:00,,INTERVIEW,,0.9,,김진욱,True,김태형 감독이 선수들의 훈련을 지켜보고 있다.,,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
17,"[사진] 김태형 감독, 생각 중","2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 훈련을 둘러보고 있다. 2026.04.2",www.osen.co.kr,2026-04-28T16:05:00,,MATCH_RELATED,INTERVIEW,0.9,,김진욱,True,롯데가 키움과의 경기에서 승리했다.,김진욱,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
18,"완연한 투고타저 흐름, 진원지는 외인들? 리그 평균만도 못한 타자가 절...","LG 오스틴 딘(200.8), 롯데 빅터 레이예스(149.1) 등 구관들이 외국인 타자다운 역할을 하고 있지만 신입생들의 활약이 워낙 부진하다. 타율 0.370에 4홈런으로 wRC+ 기준 오스틴 다음가는 활약 중인 ",sports.khan.co.kr,2026-04-28T16:03:00,,PERFORMANCE_ANALYSIS,,0.9,,레이예스;빅터 레이예스,True,롯데의 외국인 타자 레이예스가 좋은 활약을 보이고 있다.,레이예스,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
19,선발은 리그 1위 수준인데…최하위 처진 롯데,롯데 자이언츠 선발투수들의 호투가 타선과 불펜 부진으로 빛이 바래고 있다. 선발투수 평균자책점이... 올 시즌 알을 깨고 나온 유망주 김진욱도 5선발 자리에서 제 몫을 다하고 있다. 김진욱도 28일 경기 전까지...,www.busan.com,2026-04-28T15:58:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,김진욱,True,롯데의 선발투수들이 좋은 성적을 내고 있지만 팀 성적은 저조하다.,김진욱,negative,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
20,"유강남 무려 21일 만에 선발 포수 출격, 김진욱과 호흡…'2연패' 롯데 선...",김진욱은 2021년 신인드래프트 2차 1라운드 전체 1순위로 롯데의 지명을 받은 이후 최고의 활약을 보여주는 중이다. 올해 4경기에서 2승 1패 평균자책점 2.59를 마크하는 중. 직전 등판의 경우 두산을 사앧로 5,www.spotvnews.co.kr,2026-04-28T15:51:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,김진욱,True,유강남이 김진욱과 함께 선발 포수로 출전한다.,김진욱;유강남,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
21,"[속보] '손성빈 제외' 롯데 16G 만에 선발 포수 교체...유강남, 21일 만에...",프로야구 롯데 자이언츠가 연패를 탈출하고 탈꼴찌에서 벗어나기 위한 발판을 마련할 수 있을까. 유강남이... 선발 투수는 김진욱이다. 그동안 손성빈에게 주전 포수 자리를 내줘야 했던 유강남이 4월 7일 사직 KT전..,www.osen.co.kr,2026-04-28T15:50:00,,MATCH_RELATED,INJURY_ROSTER,0.9,,손성빈;유강남;김진욱,True,롯데가 유강남을 선발 포수로 기용하며 변화를 시도한다.,유강남,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
22,롯데 손성빈 한태양이 사라졌다! → 유강남 주전포수. '에이스' 김진욱...,"선발투수는 김진욱. 롯데는 지난 8일 부산 KT전 김진욱-손성빈 배터리 조합으로 7연패를 끊은 뒤 한동안 손성빈을 선발 포수로 내세웠다. 김태형 롯데 감독은 ""손성빈은 송구가 매우 좋은데 볼배합은 조금 더 ",www.sportschosun.com,2026-04-28T15:48:00,,MATCH_RELATED,INTERVIEW,0.9,,김진욱;손성빈,True,롯데가 유강남을 주전 포수로 기용하며 새로운 조합을 시도한다.,김진욱;유강남,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
23,"[AI프리뷰] 28일 부산 키움-롯데전, 김진욱 키움전 역투 재연할까","선발 투수는 롯데 김진욱, 키움 라울 알칸타라로 예고됐으며, 최근 흐름이 좋지 않은 두 팀 모두 '선발 싸움에서 주도권을 잡을 수 있느냐'가 시즌 흐름을 바꿀 중요한 승부처가 될 전망이다. [서울=뉴스핌] 롯데의..",www.newspim.com,2026-04-28T14:59:00,,MATCH_RELATED,,1.0,,김진욱,True,롯데와 키움의 선발 투수 대결이 중요한 승부처가 될 전망이다.,김진욱,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
24,"말 많던 전준우, 버텼고 터졌다...롯데 살릴 카드 될까","이에 따라 롯데 팬들의 걱정도 커질 수 밖에 없었다. 그러나 반등 가능성은 분명히 존재한다. 전준우는... 안타는 팀 내 3위, 타점은 외국인 선수인 레이예스 바로 뒤를 잇는 2위를 기록하며 40대의 나이에도 공격적",www.mhnse.com,2026-04-28T14:50:00,,ETC,,0.9,,전준우;레이예스,True,전준우가 팀의 반등을 이끌 수 있는 카드로 주목받고 있다.,전준우,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
25,"병살이면 끝이었던 롯데, 병살이 아니면 끝이었던 KIA…9회 말 승부수 끝...","반면, 롯데 선발 나균안은 6이닝(92구)동안 3피안타(1피홈런) 4탈삼진 1사사구 2실점(2자책점)으로 호투했으나, 불펜과 수비에서 리드를 지키지 못했다. 9회 말 역전으로 또 한 번 승리투수의 기회를 놓치며 나균",www.mhnse.com,2026-04-28T13:55:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,나균안,True,롯데가 9회 말 역전패를 당하며 승리투수 기회를 놓쳤다.,나균안,negative,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
26,나올 때마다 삼진 퍼레이드 '성영탁'··· 10라운드 기적 일으키며 아시...,"롯데 5:5 KIA 광주구장(4월 26일) 10회초 등판 선두타자 레이예스 삼진, 또 삼진 11회초에서도 계속된 삼진 무려 2이닝 동안 '5K' 성영탁의 삼진 퍼레이드는 이게 처음이 아닌데 KIA 4:5 두산 잠실구",news.jtbc.co.kr,2026-04-28T13:52:00,,PERFORMANCE_ANALYSIS,,0.9,,레이예스,True,성영탁이 10회와 11회에서 삼진 5개를 기록했다.,성영탁,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
27,"꼴찌라고 주저 앉을 것인가…'선발진 덕분에' 최악은 아닌 롯데, 더 독해...","일단 더 독해진다는 것은 전제로 깔아야 한다. 롯데는 키움 3연전 김진욱부터 시작해 엘빈 로드리게스, 제레미 비슬리라는 현재 가장 믿을 수 있는 선발진으로 키움을 맞이한다.",www.osen.co.kr,2026-04-28T11:21:00,,MATCH_RELATED,,0.9,,김진욱,True,롯데는 믿을 수 있는 선발진으로 키움과 맞붙는다.,김진욱;엘빈 로드리게스;제레미 비슬리,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
28,"[프로야구] '타율보다 생산력' 김도영, 2년 만에 MVP 재탈환 도전...변수...",KIA 김도영이 24일 광주 롯데전에서 연타석 홈런을 터뜨리며 팀을 승리로 이끌었다. 24일 김도영은 0-0으로 맞선 7회말 선두타자로 나선 김도영은 제레미 비슬리의 초구 스위퍼를 받아쳐 좌월 선제 솔로 홈런을...,www.newspim.com,2026-04-28T08:57:00,,MATCH_RELATED,,0.9,,김도영;비슬리,True,KIA 김도영이 롯데전에서 연타석 홈런을 기록했다.,,negative,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
29,"‘봄데 효과도 없다?’ 벼랑 끝 거인, 키움전 싹쓸이만이 살길","롯데의 연패 탈출은 ‘좌완 영건’ 김진욱(24)의 어깨에 달려있다 해도 과언이 아니다. 올 시즌 김진욱은 4경기 2승 1패 평균자책점 2.59을 기록, 롯데 선발진의 유일한 위안거리다. 무엇보다 ‘연패 스토퍼’라는 ",www.dailian.co.kr,2026-04-28T08:30:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,김진욱,True,롯데의 연패 탈출은 김진욱에게 달려있다.,김진욱,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
30,'후라도 vs 곽빈' 잠실 격돌... 28일 KBO리그 선발 투수·중계 채널 총정...,"창원 NC파크에서는 KIA 타이거즈의 네일과 NC 다이노스의 신민혁이, 부산 사직야구장에서는 키움 히어로즈의 알칸타라와 롯데 자이언츠의 김진욱이 각각 선발 등판해 팀 승리를 노린다. 중계 채널은 경기별로...",www.gukjenews.com,2026-04-28T08:06:00,,MATCH_RELATED,,0.9,,김진욱,True,롯데는 키움과의 경기에서 김진욱이 선발로 나선다.,김진욱,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
31,사자 때려잡은 영웅들 VS 호랑이한테 물려갔던 갈매기,롯데가 키움과의 맞대결에서 열세에 놓인다면 최하위 탈출의 가능성은 더 줄어든다. 그나마 이번 3연전에 김진욱과 엘빈 로드리게스-제레미 비슬리 등 외국인 원투 펀치가 모두 투입된다는 점이다. 선발 투수가...,sports.khan.co.kr,2026-04-28T08:00:00,,MATCH_RELATED,,0.9,,김진욱,True,롯데는 키움과의 3연전에서 선발 투수들이 투입된다.,김진욱;엘빈 로드리게스;제레미 비슬리,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
32,"[2026 프로야구 삼진과 홈런 사이] LG, kt에 당한 개막 2연패 설욕할까 ...","98)대 한화 이글스 왕엔청(2승2패, 2.28) 잠실구장 삼성 라이온드 후라도(2승1패 1.97)대 두산 베어스곽빈(1승2패 3.25) 사직구장 키움 히어로즈 알칸타라(2승2패,2.56)대 롯데 자이언츠 김진욱(2",www.newsian.co.kr,2026-04-28T07:44:00,,MATCH_RELATED,,0.9,,김진욱,True,롯데는 키움과의 경기에서 김진욱이 선발로 나선다.,김진욱,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
33,'한화 심각해? 롯데 불펜도 못지 않아'…선발 잘 버텨도 계속 무너진다,"롯데는 이날 선발투수 나균안이 1회말 선두타자 박재현에 1점 홈런솔로 홈런, 2회말 2사 3루에서 주효상에 1타점 적시타를 허용하면서 0-2로 끌려갔다. 2연패에 빠져 있는 상황에서 초반 리드를 뺏기며 불안하게...",www.xportsnews.com,2026-04-28T05:45:00,,MATCH_RELATED,,0.9,,나균안,True,롯데가 선발투수 나균안의 실점으로 어려움을 겪었다.,나균안,negative,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
34,‘톱3’에 국내파 셋…KBO리그 초반 홈런왕 경쟁 이끄는 김도영·장성우...,"문현빈(22·한화 이글스), 박건우(36·NC 다이노스)를 비롯해 기예르모 에레디아(35·SSG), 샘 힐리어드(32·KT), 빅터 레이예스(32·롯데 자이언츠), 다즈 카메론(29·두산 베어스) 등 6명이 5개의 ",sports.donga.com,2026-04-28T05:06:00,,PERFORMANCE_ANALYSIS,,0.9,,레이예스;빅터 레이예스,True,롯데 레이예스가 홈런왕 경쟁에 이름을 올렸다.,레이예스,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
35,'롯데 유망주'에게서 안우진 신인 때 냄새가… 사직에서 못 본 특별 데이...,"롯데 팀 내에 이 정도 회전력을 가진 패스트볼을 던지는 투수는 두 외국인 투수(제레미 비슬리·엘빈 로드리게스), 그리고 성공한 불펜 투수들인 최준용과 김원중 정도다. 또한 이날 구속도 140㎞대 후반을 안정적으로..",www.spotvnews.co.kr,2026-04-28T01:32:00,,ETC,,0.9,,로드리게스,True,롯데 유망주가 뛰어난 패스트볼을 던졌다.,,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
36,"KBO 프로야구, 28일 경기 일정·선발 투수·중계→순위·예매 방법?","선발 투수는 삼성(후라도)-두산(곽빈), LG(웰스)-KT(사우어), SSG(최민준)-한화(왕옌청), KIA(네일)-NC(신민혁), 키움(알칸타라)-롯데(김진욱)이 나선다. 삼성-두산 경기는 SPOTV, LG-KT ",www.topstarnews.net,2026-04-28T00:54:00,,MATCH_RELATED,,0.9,,김진욱,True,롯데의 선발 투수 김진욱이 경기에 나선다.,김진욱,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
