game_date,game_id,home_team,away_team,lotte_home_away,opponent,home_score,away_score,lotte_score,opponent_score,result,series_id,extra_innings,winning_rbi_player,winning_rbi_inning,winning_rbi_detail,home_runs,key_hitters,key_pitchers,review_raw
2026-04-15,20260415LTLG02026,LG,LT,A,LG,0,2,2,0,W,0,,손성빈,3,3회 1사서 좌중월 홈런,손성빈1호,장두성(롯데);박해민(LG);한태양(롯데),김진욱(롯데);웰스(LG);박정민(롯데),결승타:손성빈(3회 1사서 좌중월 홈런)|홈런:손성빈1호(3회1점 웰스)|2루타:한동희(4회) 한태양(5회)|도루:한태양(9회)
2026-04-16,20260416LTLG02026,LG,LT,A,LG,7,4,4,7,L,0,,문성주,6,6회 2사 만루서 우전 안타,레이예스5호,레이예스(롯데);문성주(LG);윤동희(롯데),치리노스(LG);우강훈(LG);정철원(롯데),결승타:문성주(6회 2사 만루서 우전 안타)|홈런:레이예스5호(6회2점 장현식)|2루타:레이예스(1회) 윤동희(1회) 문보경(2회) 천성호(2회) 문성주(5회) 유강남(8회)|실책:이영빈(2회) 천성호(3회) 오지환(8회)|도루:장두성(2회) 한태양(3회) 오지환(7회) 최원영(7회) 신민재(7회)|도루자:최원영(7회)|주루사:천성호(2회) 윤동희(5회)|견제사:신민재(7회)|폭투:로드리게스(2회)
2026-04-18,20260418HHLT02026,LT,HH,H,HH,0,5,0,5,L,0,,페라자,3,3회 1사 3루서 우익수 2루타,,페라자(한화);강백호(한화);문현빈(한화),류현진(한화);현도훈(롯데);조동욱(한화),결승타:페라자(3회 1사 3루서 우익수 2루타)|3루타:이원석(3회)|2루타:전준우(2회) 페라자(3회) 강백호(3회) 문현빈(7회)|실책:심우준(3회)|주루사:전준우(2회)|견제사:이원석(7회)|병살타:전준우(4회)|폭투:비슬리(3회)
2026-04-19,20260419HHLT02026,LT,HH,H,HH,1,9,1,9,L,0,,,,없음,문현빈4호,문현빈(한화);강백호(한화);최재훈(한화),에르난데스(한화);김종수(한화);김서현(한화),결승타:없음|홈런:문현빈4호(3회1점 박세웅)|2루타:손호영(2회) 강백호(5회) 심우준(6회)|실책:한동희2(2 9회) 황성빈(2회)|도루:황성빈(3회)|도루자:이원석(1회)|주루사:전준우(4회)|병살타:한동희(6회) 신윤후(8회)
2026-04-21,20260421OBLT02026,LT,OB,H,OB,2,6,2,6,L,0,,정수빈,3,"3회 무사 1,3루서 투수 안타",정수빈1호,정수빈(두산);노진혁(롯데);박준순(두산),벤자민(두산);김택연(두산);나균안(롯데),"결승타:정수빈(3회 무사 1,3루서 투수 안타)|홈런:정수빈1호(9회3점 박정민)|2루타:노진혁(2회) 박준순(8회) 카메론(9회)|실책:손호영(3회)|도루:장두성(8회)|주루사:노진혁(2회)|병살타:카메론(4회) 레이예스(7회)|폭투:김원중(8회)"
2026-04-22,20260422OBLT02026,LT,OB,H,OB,1,9,1,9,L,0,,정수빈,2,2회 2사 만루서 좌전 안타,정수빈2호,정수빈(두산);전민재(롯데);양의지(두산),곽빈(두산);최이준(롯데);김정우(두산),결승타:정수빈(2회 2사 만루서 좌전 안타)|홈런:정수빈2호(5회1점 김진욱)|2루타:양의지(9회)|실책:전준우(2회) 김원중(7회)|도루:박찬호(9회)|도루자:이유찬(8회)|주루사:박준순2(1 3회)|병살타:김민석(2회) 손호영(6회) 강승호(6회)|폭투:곽빈(3회) 김원중(7회)
2026-04-23,20260423OBLT02026,LT,OB,H,OB,6,1,6,1,W,0,,전민재,2,2회 2사 2루서 좌익수 2루타,카메론5호,전민재(롯데);신윤후(롯데);손성빈(롯데),로드리게스(롯데);현도훈(롯데);박정민(롯데),결승타:전민재(2회 2사 2루서 좌익수 2루타)|홈런:카메론5호(2회1점 로드리게스)|2루타:손성빈(2회) 전민재(2회) 한동희(3회) 신윤후(4회) 양석환(9회)|도루:박찬호(1회)|주루사:한동희(3회)|병살타:양의지(5회)|폭투:로드리게스2(1 4회) 잭로그(2회) 최준호2(7회)
2026-04-24,20260424LTHT02026,HT,LT,A,HT,4,0,0,4,L,0,,김도영,7,7회 무사서 좌월 홈런,김도영7호;김도영8호,김도영(HT);고종욱(HT);박재현(HT),올러(HT);비슬리(롯데);이영재(롯데),결승타:김도영(7회 무사서 좌월 홈런)|홈런:김도영7호8호(7회1점 8회2점 비슬리 김원중)|2루타:나성범(7회)|도루:박재현(6회)|병살타:한동희(4회)
2026-04-25,20260425LTHT02026,HT,LT,A,HT,4,3,3,4,L,0,,김도영,5,"5회 2사 1,3루서 우익수 2루타",유강남2호,김도영(HT);김선빈(HT);박재현(HT),성영탁(HT);정해영(HT);박정민(롯데),"결승타:김도영(5회 2사 1,3루서 우익수 2루타)|홈런:유강남2호(4회1점 양현종)|2루타:김선빈(3회) 신윤후(3회) 김규성(5회) 박재현(5회) 김도영(5회)|실책:김규성(3회) 이태양(6회)|도루자:박정우(8회)|병살타:한준수(4회)"
2026-04-26,20260426LTHT02026,HT,LT,A,HT,5,5,5,5,D,0,,,,없음,박재현1호;노진혁4호;전준우2호;오선우2호,고종욱(HT);오선우(HT);전준우(롯데),성영탁(HT);현도훈(롯데);나균안(롯데),결승타:없음|홈런:박재현1호(1회1점 나균안) 노진혁4호(5회1점 최지민) 전준우2호(5회1점 최지민) 오선우2호(7회2점 박정민)|2루타:나성범(2회)|실책:한태양(9회)|도루:장두성(1회) 김한홀(10회)|병살타:한준수(9회)|폭투:최준용(9회)
2026-04-28,20260428WOLT02026,LT,WO,H,WO,5,4,5,4,W,0,,이호준,6,"6회 1사 2,3루서 중전 안타",,전민재(롯데);박주홍(키움);레이예스(롯데),김원중(롯데);현도훈(롯데);박정민(롯데),"결승타:이호준(6회 1사 2,3루서 중전 안타)|3루타:장두성(6회) 박주홍(9회)|2루타:레이예스2(1 5회) 유강남2(2 7회) 전민재(6회)|실책:노진혁(3회)|병살타:오선진(6회) 안치홍(9회)"
2026-04-29,20260429WOLT02026,LT,WO,H,WO,5,6,5,6,L,0,,오선진,11,11회 1사 3루서 투수 안타,안치홍2호;임병욱1호;박승욱1호,박승욱(롯데);장두성(롯데);레이예스(롯데),박진형(키움);정철원(롯데);유토(키움),결승타:오선진(11회 1사 3루서 투수 안타)|홈런:안치홍2호(1회1점 로드리게스) 임병욱1호(5회2점 로드리게스) 박승욱1호(8회2점 김재웅)|2루타:전민재(2회) 유강남(4회) 윤동희(8회) 최주환(11회)|실책:현도훈(8회)|도루:장두성(3회)|주루사:유강남(4회) 김건희(6회)|병살타:노진혁(7회)|포일:유강남(6회)
2026-04-30,20260430WOLT02026,LT,WO,H,WO,3,1,3,1,W,0,,,,없음,,유강남(롯데);박승욱(롯데);송지후(키움),배동현(키움);비슬리(롯데);최준용(롯데),결승타:없음|2루타:장두성(3회) 박승욱(4회) 레이예스(6회)|실책:김지석(1회) 노진혁(3회) 임지열(6회)|도루:박주홍(1회) 전민재(6회) 임지열(6회)|주루사:박승욱(4회)|병살타:안치홍(3회) 한동희(8회) 임지열(8회)|보크:비슬리(6회)
2026-05-01,20260501LTSK02026,SK,LT,A,SK,7,10,10,7,W,0,,장두성,10,"10회 2사 1,2루서 우전 안타",조형우1호,에레디아(SSG);손성빈(롯데);장두성(롯데),타케다(SSG);김원중(롯데);조병현(SSG),"결승타:장두성(10회 2사 1,2루서 우전 안타)|홈런:조형우1호(2회1점 박세웅)|2루타:오태곤(4회) 레이예스2(6 10회) 박승욱(10회)|실책:박성한(6회) 노경은(8회) 안상현(8회)|도루:정준재(2회) 장두성(6회) 전민재(6회)|주루사:레이예스(6회)|병살타:한유섬(6회) 전준우(7회)|폭투:박세웅(4회) 최이준(7회)"
2026-05-02,20260502LTSK02026,SK,LT,A,SK,5,7,7,5,W,0,,노진혁,6,6회 무사 만루서 좌익수 희생플라이,박성한3호;최정8호,레이예스(롯데);윤동희(롯데);최정(SSG),베니지아노(SSG);나균안(롯데);김원중(롯데),결승타:노진혁(6회 무사 만루서 좌익수 희생플라이)|홈런:박성한3호(1회1점 나균안) 최정8호(8회3점 정철원)|2루타:최정(4회) 최준우(5회) 윤동희(7회) 오태곤(7회)|도루:오태곤(2회) 한태양(8회) 이호준(9회)|병살타:조형우(7회)|폭투:박시후(7회)
2026-05-03,20260503LTSK02026,SK,LT,A,SK,2,5,5,2,W,0,,레이예스,8,"8회 2사 1,2루서 좌중월 홈런",최지훈5호;레이예스6호,레이예스(롯데);정준재(SSG);윤동희(롯데),문승원(SSG);백승건(SSG);김진욱(롯데),"결승타:레이예스(8회 2사 1,2루서 좌중월 홈런)|홈런:최지훈5호(2회1점 김진욱) 레이예스6호(8회3점 김민)|2루타:윤동희(4회)|실책:오태곤(9회)|도루:장두성(1회)|도루자:오태곤(6회)|포일:유강남(1회)"
2026-05-05,20260505LTKT02026,KT,LT,A,KT,5,4,4,5,L,0,,권동진,8,8회 1사 3루서 우익수 2루타,힐리어드7호,레이예스(롯데);나승엽(롯데);김상수(KT),박영현(KT);정현수(롯데);소형준(KT),결승타:권동진(8회 1사 3루서 우익수 2루타)|홈런:힐리어드7호(2회1점 로드리게스)|2루타:김민혁(3회) 권동진(8회)|도루:전민재(6회)|주루사:유준규(6회)|폭투:로드리게스(5회)
2026-05-06,20260506LTKT02026,KT,LT,A,KT,1,8,8,1,W,0,,고승민,3,"3회 1사 1,2루서 좌중간 2루타",나승엽1호,고승민(롯데);김민혁(KT);나승엽(롯데),비슬리(롯데);현도훈(롯데);박정민(롯데),"결승타:고승민(3회 1사 1,2루서 좌중간 2루타)|홈런:나승엽1호(6회2점 보쉴리)|2루타:고승민(3회) 레이예스(7회) 이호준(8회)|실책:손성빈(1회) 고승민(1회)|도루:김민혁(1회)|병살타:나승엽(3회) 이강민(7회)|폭투:비슬리(1회)"
2026-05-08,20260508HTLT02026,LT,HT,H,HT,2,8,2,8,L,0,,박재현,7,7회 1사서 우중월 홈런,박재현4호;박재현5호;고승민1호;아데를린4호,박재현(HT);박상준(HT);고승민(롯데),황동하(HT);나균안(롯데);정해영(HT),결승타:박재현(7회 1사서 우중월 홈런)|홈런:박재현4호5호(1회1점 7회1점 나균안) 고승민1호(4회1점 황동하) 아데를린4호(9회2점 쿄야마)|2루타:나성범(6회) 박상준2(7 8회)|실책:김호령(7회) 전민재2(7 9회)|도루:장두성(1회)|주루사:윤동희(3회) 박상준(8회) 장두성(8회)|병살타:전민재(2회)|폭투:최이준(7회)
2026-05-09,20260509HTLT02026,LT,HT,H,HT,1,3,1,3,L,0,,아데를린,8,"8회 2사 1,3루서 좌전 안타",김호령4호,김호령(HT);아데를린(HT);김도영(HT),김진욱(롯데);정해영(HT);네일(HT),"결승타:아데를린(8회 2사 1,3루서 좌전 안타)|홈런:김호령4호(7회1점 김진욱)|2루타:박재현(3회) 레이예스(4회) 김도영(6회) 김호령(9회) 박민(9회) 전준우(9회)|도루:박재현(8회)"
2026-05-10,20260510HTLT02026,LT,HT,H,HT,7,3,7,3,W,0,,레이예스,3,3회 무사 3루서 2루수 안타,,전민재(롯데);고승민(롯데);김도영(HT),박세웅(롯데);박정민(롯데);정철원(롯데),결승타:레이예스(3회 무사 3루서 2루수 안타)|3루타:고승민(3회)|2루타:김도영(1회) 전민재(2회) 나승엽(5회) 윤동희(5회) 한준수(9회)|도루:박재현(5회)|견제사:박재현(3회)|폭투:이의리(3회)
2026-05-12,20260512NCLT02026,LT,NC,H,NC,1,8,1,8,L,0,,한석현,4,4회 2사 만루서 밀어내기 사구,전민재1호;김주원5호,한석현(NC);박민우(NC);김주원(NC),라일리(NC);김영규(NC);전사민(NC),결승타:한석현(4회 2사 만루서 밀어내기 사구)|홈런:전민재1호(3회1점 라일리) 김주원5호(7회3점 최이준)|2루타:김주원2(3 6회) 박건우(5회) 전준우(8회)|폭투:로드리게스2(3회)
2026-05-13,20260513NCLT02026,LT,NC,H,NC,10,5,10,5,W,0,,손호영,2,"2회 2사 1,2루서 좌중간 2루타",,손호영(롯데);한석현(NC);고승민(롯데),비슬리(롯데);현도훈(롯데);김원중(롯데),"결승타:손호영(2회 2사 1,2루서 좌중간 2루타)|3루타:고승민(4회)|2루타:노진혁(2회) 손호영(2회) 레이예스(3회) 손성빈(4회) 안중열(6회)|실책:김주원(3회)|도루:황성빈2(3 4회)|도루자:전민재2(2 3회)|주루사:안중열(6회)|병살타:김형준(3회) 이우성(4회) 노진혁(5회) 오영수(5회)|폭투:김진호(6회)"
2026-05-14,20260514NCLT02026,LT,NC,H,NC,4,5,4,5,L,0,,박건우,3,"3회 2사 1,2루서 좌전 안타",김주원6호,김주원(NC);고승민(롯데);박건우(NC),토다(NC);전사민(NC);임지민(NC),"결승타:박건우(3회 2사 1,2루서 좌전 안타)|홈런:김주원6호(4회2점 나균안)|2루타:나승엽(7회) 전민재(9회) 유강남(9회)|실책:김형준(3회)|도루자:권희동(7회)|폭투:토다(3회) 임지민(7회)"
2026-05-15,20260515LTOB02026,OB,LT,A,OB,5,6,6,5,W,0,,,,없음,,고승민(롯데);박지훈(두산);황성빈(롯데),최준용(롯데);박정민(롯데);이영하(두산),결승타:없음|2루타:한동희(4회) 박준순(4회) 장두성(6회)|실책:나승엽(7회)|도루:정수빈(1회) 황성빈(3회) 박찬호(6회) 조수행(7회)|주루사:손아섭(4회) 박지훈(6회)|병살타:강승호(5회)|포일:김기연(5회)|폭투:양재훈(7회)
2026-05-16,20260516LTOB02026,OB,LT,A,OB,10,9,9,10,L,0,,강승호,11,11회 1사 만루서 중견수 희생플라이,한동희1호;유강남3호;양의지5호;나승엽2호,나승엽(롯데);양의지(두산);박지훈(두산),양재훈(두산);김정우(두산);최준용(롯데),결승타:강승호(11회 1사 만루서 중견수 희생플라이)|홈런:한동희1호(3회2점 잭로그) 유강남3호(6회1점 잭로그) 양의지5호(7회2점 박정민) 나승엽2호(9회2점 이영하)|2루타:김민석(1회) 박지훈(1회) 고승민2(3 5회)|실책:유강남(4회) 박찬호(4회)|도루:카메론(4회) 조수행(7회) 황성빈(9회) 박지훈(11회)|병살타:전민재(4회) 한동희(5회)|포일:양의지(3회)
2026-05-17,20260517LTOB02026,OB,LT,A,OB,8,4,4,8,L,0,,,,없음,한동희2호;강승호1호;김민석2호;레이예스7호,강승호(두산);한동희(롯데);유강남(롯데),최승용(두산);최준호(두산);박치국(두산),결승타:없음|홈런:한동희2호(4회1점 최승용) 강승호1호(5회1점 로드리게스) 김민석2호(7회3점 최이준) 레이예스7호(8회1점 최준호)|3루타:카메론(1회)|2루타:장두성(3회) 김세민(9회)|실책:박지훈(4회) 나승엽(7회) 한동희(7회)|병살타:정수빈(8회)|폭투:정철원(7회)
2026-05-19,20260519LTHH02026,HH,LT,A,HH,4,6,6,4,W,0,,장두성,8,8회 1사 3루서 우중간 안타,전민재2호;페라자8호;한동희3호,한동희(롯데);장두성(롯데);이진영(한화),최준용(롯데);에르난데스(한화);김원중(롯데),결승타:장두성(8회 1사 3루서 우중간 안타)|홈런:전민재2호(2회2점 에르난데스) 페라자8호(3회1점 비슬리) 한동희3호(8회1점 윤산흠)|2루타:김태연(4회) 장두성(4회) 문현빈(5회) 고승민(5회)|실책:이민우(8회)|도루:황성빈(8회) 한태양(8회) 장두성(8회) 손호영(9회)|병살타:최인호(8회) 페라자(9회)
2026-05-21,20260521LTHH02026,HH,LT,A,HH,2,8,8,2,W,0,,전민재,2,2회 2사 1루서 좌월 홈런,전민재3호;고승민2호,전민재(롯데);레이예스(롯데);고승민(롯데),나균안(롯데);현도훈(롯데);김종수(한화),결승타:전민재(2회 2사 1루서 좌월 홈런)|홈런:전민재3호(2회2점 정우주) 고승민2호(3회1점 정우주)|3루타:황성빈(9회)|2루타:노시환(2회) 전준우(4회) 전민재(4회) 강백호(6회)|실책:허인서(5회) 전민재(5회)|도루:이진영(1회) 장두성(5회) 심우준(5회)|견제사:나승엽(5회)|병살타:노시환(4회) 황영묵(7회)|폭투:박준영(4회) 나균안(5회)
2026-05-22,20260522SSLT02026,LT,SS,H,SS,5,7,5,7,L,0,,김성윤,4,"4회 2사 1,3루서 투수 안타",디아즈6호;전민재4호;나승엽3호,레이예스(롯데);김지찬(삼성);전병우(삼성),이승민(삼성);김재윤(삼성);구승민(롯데),"결승타:김성윤(4회 2사 1,3루서 투수 안타)|홈런:디아즈6호(1회1점 김진욱) 전민재4호(2회1점 오러클린) 나승엽3호(3회3점 오러클린)|2루타:고승민2(1 3회) 구자욱(4회) 김성윤(9회)|실책:이재현(1회) 김진욱(3회) 손성빈(4회) 전민재(4회)|도루:김지찬(3회)|병살타:나승엽(5회)|폭투:김진욱(1회) 오러클린2(1 4회)"
2026-05-23,20260523SSLT02026,LT,SS,H,SS,7,5,7,5,W,0,,장두성,8,8회 2사 만루서 우전 안타,,구자욱(삼성);장두성(롯데);김동현(롯데),박세웅(롯데);최준용(롯데);홍민기(롯데),결승타:장두성(8회 2사 만루서 우전 안타)|3루타:김동현(5회)|2루타:김동현(2회) 박승욱2(2 5회) 손성빈(4회) 고승민(8회) 구자욱(8회)|도루:박승욱(2회)|병살타:박세혁(5회)
2026-05-24,20260524SSLT02026,LT,SS,H,SS,0,10,0,10,L,0,,구자욱,1,1회 1사 1루서 우월 홈런,구자욱6호,구자욱(삼성);전병우(삼성);김지찬(삼성),양창섭(삼성);이민석(롯데);정철원(롯데),결승타:구자욱(1회 1사 1루서 우월 홈런)|홈런:구자욱6호(1회2점 로드리게스)|3루타:박승규(8회)|2루타:최형우(8회)|실책:나승엽(2회)|도루:김지찬(7회)|병살타:구자욱(5회) 류지혁(6회)|폭투:양창섭(3회)
2026-05-26,20260526LGLT02026,LT,LG,H,LG,1,2,1,2,L,0,,천성호,7,7회 무사 1루서 좌익수 2루타,박동원3호,고승민(롯데);장두성(롯데);천성호(LG),비슬리(롯데);톨허스트(LG);김진성(LG),결승타:천성호(7회 무사 1루서 좌익수 2루타)|홈런:박동원3호(2회1점 비슬리)|2루타:천성호(7회)|실책:전민재(4회)|도루:장두성(3회)|도루자:천성호(7회)|병살타:전민재(4회)
